experiment_information_key.keys,experiment_information_key.rt,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,comprehension_continue_key.keys,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_1.ran,Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,OS,frameRate,lab_key.keys,lab_key.rt,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_3_key.keys,enc_instructions_3_key.rt,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,comprehension_questions_2.ran,enc_fx_key.keys,enc_trial_key.keys,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_practice_trials.ran,Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,enc_trial_key.rt,end_practice_key.keys,end_practice_key.rt,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,enc_trials.ran,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_fx_key.rt,comprehension_continue_key.rt,comprehension_enc_run.thisRepN,comprehension_enc_run.thisTrialN,comprehension_enc_run.thisN,comprehension_enc_run.thisIndex,comprehension_enc_run.ran,enc_run_end_key.keys,enc_run_end_key.rt,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_runs.ran,inter_task_break_key.keys,inter_task_break_key.rt,rec_instructions_1_key.keys,rec_instructions_1_key.rt,rec_instructions_2_key.keys,rec_instructions_2_key.rt,rec_instructions_3_key.keys,rec_instructions_3_key.rt,rec_instructions_4_key.keys,rec_instructions_4_key.rt,comprehension_questions_3.thisRepN,comprehension_questions_3.thisTrialN,comprehension_questions_3.thisN,comprehension_questions_3.thisIndex,comprehension_questions_3.ran,demo_key.keys,demo_key.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,DemoImage,DemoX,DemoY,InPractice,DemoText,demo_end_key.keys,demo_end_key.rt,rec_fx_key.keys,rec_trial_key.keys,rec_practice_trials.thisRepN,rec_practice_trials.thisTrialN,rec_practice_trials.thisN,rec_practice_trials.thisIndex,rec_practice_trials.ran,BlockNr,Filler,rec_trial_key.rt,rec_practice_blocks.thisRepN,rec_practice_blocks.thisTrialN,rec_practice_blocks.thisN,rec_practice_blocks.thisIndex,rec_practice_blocks.ran,rec_trials.thisRepN,rec_trials.thisTrialN,rec_trials.thisN,rec_trials.thisIndex,rec_trials.ran,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,rec_blocks.thisRepN,rec_blocks.thisTrialN,rec_blocks.thisN,rec_blocks.thisIndex,rec_blocks.ran,rec_fx_key.rt,end_rec_run_key.keys,end_rec_run_key.rt,rec_runs.thisRepN,rec_runs.thisTrialN,rec_runs.thisN,rec_runs.thisIndex,rec_runs.ran,comprehension_end.thisRepN,comprehension_end.thisTrialN,comprehension_end.thisN,comprehension_end.thisIndex,comprehension_end.ran,end_experiment_key.keys,end_experiment_key.rt
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,f,0,6,6,6,1,EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-300,0,3000,Encoding,1.24732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,j,0,7,7,7,1,EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,300,0,800,Encoding,1.273115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,f,0,8,8,8,1,EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-300,0,1500,Encoding,0.865825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,f,,,,,,,,OLP,1,stimuli/fractals/7c.jpg,212.1320344,212.1320344,2000,,1.227185,right,4.748025,0,0,0,0,1,1,1,3,stimuli/fractals/7c.jpg,stimuli/fractals/7a.jpg,stimuli/fractals/7b.jpg,212.1320344,212.1320344,0,300,300,0,-212.1320344,-212.1320344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,j,,,,,,,,OLP,1,stimuli/fractals/55c.jpg,212.1320344,-212.1320344,6000,,1.64738,,,0,1,1,1,1,2,1,3,stimuli/fractals/55c.jpg,stimuli/fractals/55a.jpg,stimuli/fractals/55b.jpg,212.1320344,-212.1320344,0,-300,300,0,-212.1320344,212.1320344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,j,,,,,,,,LLP,1,stimuli/fractals/89b.jpg,212.1320344,212.1320344,2000,,1.08986,,,0,2,2,2,1,3,1,5,stimuli/fractals/89b.jpg,stimuli/fractals/89c.jpg,stimuli/fractals/89a.jpg,212.1320344,212.1320344,300,0,0,300,-212.1320344,-212.1320344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,f,,,,,,,,ERP,1,stimuli/fractals/101c.jpg,212.1320344,-212.1320344,1000,,1.0671,,,0,3,3,3,1,4,1,2,stimuli/fractals/101c.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101b.jpg,212.1320344,-212.1320344,300,0,0,-300,-300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,f,,,,,,,,OLP,2,stimuli/fractals/7a.jpg,212.1320344,212.1320344,5000,,0.93169,,,0,4,4,4,1,5,1,0,stimuli/fractals/7c.jpg,stimuli/fractals/7a.jpg,stimuli/fractals/7b.jpg,212.1320344,212.1320344,0,300,300,0,-212.1320344,-212.1320344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,j,,,,,,,,OLP,2,stimuli/fractals/55a.jpg,212.1320344,-212.1320344,3000,,0.91141,,,0,5,5,5,1,6,1,0,stimuli/fractals/55c.jpg,stimuli/fractals/55a.jpg,stimuli/fractals/55b.jpg,212.1320344,-212.1320344,0,-300,300,0,-212.1320344,212.1320344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,f,,,,,,,,ERP,2,stimuli/fractals/101c.jpg,212.1320344,-212.1320344,6000,,1.08433,,,0,6,6,6,1,7,1,0,stimuli/fractals/101c.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101b.jpg,212.1320344,-212.1320344,300,0,0,-300,-300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,j,,,,,,,,ERP,1,stimuli/fractals/28c.jpg,-212.1320344,-212.1320344,2000,,1.10862,,,0,7,7,7,1,8,1,5,stimuli/fractals/28c.jpg,stimuli/fractals/28b.jpg,stimuli/fractals/28a.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,j,,,,,,,,LLP,2,stimuli/fractals/89b.jpg,300,0,2000,,0.98712,,,0,8,8,8,1,9,1,0,stimuli/fractals/89b.jpg,stimuli/fractals/89c.jpg,stimuli/fractals/89a.jpg,212.1320344,212.1320344,300,0,0,300,-212.1320344,-212.1320344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,,,,,,,,,LLP,1,stimuli/fractals/64b.jpg,212.1320344,-212.1320344,3000,,,,,0,9,9,9,1,10,1,4,stimuli/fractals/64b.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64a.jpg,212.1320344,-212.1320344,300,0,0,-300,-300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,j,f,,,,,,,,ERP,1,stimuli/fractals/39b.jpg,0,300,2000,,2.088105,,,0,10,10,10,1,11,1,1,stimuli/fractals/39b.jpg,stimuli/fractals/39c.jpg,stimuli/fractals/39a.jpg,0,300,-212.1320344,212.1320344,212.1320344,212.1320344,0,-300,0.268455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,f,,,,,,,,OLP,1,stimuli/fractals/71a.jpg,-212.1320344,-212.1320344,2000,,2.073955,,,0,11,11,11,1,12,1,4,stimuli/fractals/71a.jpg,stimuli/fractals/71c.jpg,stimuli/fractals/71b.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,f,,,,,,,,ERP,2,stimuli/fractals/39b.jpg,0,300,2000,,1.539465,,,0,12,12,12,1,13,1,0,stimuli/fractals/39b.jpg,stimuli/fractals/39c.jpg,stimuli/fractals/39a.jpg,0,300,-212.1320344,212.1320344,212.1320344,212.1320344,0,-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,j,,,,,,,,ERP,2,stimuli/fractals/28c.jpg,-212.1320344,-212.1320344,500,,0.952605,,,0,13,13,13,1,14,1,0,stimuli/fractals/28c.jpg,stimuli/fractals/28b.jpg,stimuli/fractals/28a.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,f,,,,,,,,LLP,2,stimuli/fractals/64b.jpg,300,0,500,,2.302075,,,0,14,14,14,1,15,1,0,stimuli/fractals/64b.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64a.jpg,212.1320344,-212.1320344,300,0,0,-300,-300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,igen,igen,nő,24,17,2020-05-15_10h50.04.121,terkepesz_online,2020.1.0,Win32,60,,,,,,,,,,,,,,,f,,,,,,,,LLP,1,stimuli/fractals/82b.jpg,-212.1320344,-212.1320344,1000,,2.804445,,,0,15,15,15,1,16,1,2,stimuli/fractals/82b.jpg,stimuli/fractals/82a.jpg,stimuli/fractals/82c.jpg,-212.1320344,-212.1320344,-300,0,0,-300,300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
